Project_Name;Class_Name;Release_ID;Size_LOC;N_Methods;NR_Release;NR_Total;Nfix_Release;Nfix_Total;Nauth_Release;Nauth_Total;MAX_LOC_Added_Release;Churn_Release;Churn_Total;AVG_Churn_Release;MAX_ChgSet_Release;N_Multi_Release;Sum_Multi_ChgSet_Release;Age_Weeks;Weighted_Age;ND;Entropy;Exp;Historical_Bug_Density;NSmells;Bugginess
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LocalPeerBean.java;4;35;10;0;1;0;1;0;1;0;0;68;0.00;0;0;0;10;0.00;0.00;0.00;0.00;1.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JLong.java;4;12;3;0;8;0;7;0;2;0;0;41;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java;4;97;9;0;12;0;9;0;4;0;0;664;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.750;16;YES
ZOOKEEPER;docs/zookeeperTutorial.html;4;738;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;9;NO
ZOOKEEPER;docs/javaExample.html;4;752;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;13;NO
ZOOKEEPER;docs/skin/menu.js;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java;4;738;35;1;32;1;26;1;5;15;16;4945;16.00;19;1;19;72;1152.00;6.00;3.37;69.00;0.813;30;YES
ZOOKEEPER;src/java/main/org/apache/jute/CsvInputArchive.java;4;161;21;0;8;0;7;0;2;0;0;212;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;14;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java;4;72;6;0;8;0;7;0;2;0;0;153;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;9;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/NIOServerFactory.java;4;366;25;0;1;0;1;0;1;0;0;532;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;25;YES
ZOOKEEPER;build.xml;4;590;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/ServerAdminClient.java;4;254;10;0;13;0;8;0;4;0;0;1436;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.615;17;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JByte.java;4;9;2;0;8;0;7;0;2;0;0;37;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LeaderElectionBean.java;4;15;3;0;8;0;7;0;2;0;0;64;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/contrib/bookkeeper/build.xml;4;116;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerMXBean.java;4;7;3;0;8;0;7;0;2;0;0;71;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/util/Main.java;4;23;2;0;1;0;1;0;1;0;0;55;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;2;NO
ZOOKEEPER;docs/skin/CommonMessages_de.xml;4;7;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java;4;62;4;0;18;0;13;0;5;0;0;152;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.722;2;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/ReadEntryCallback.java;4;5;1;0;1;0;1;0;1;0;0;35;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;0;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperJMX.xml;4;194;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java;4;60;2;2;7;2;7;1;3;7;14;135;7.00;5;2;7;32;448.00;1.50;0.84;70.50;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooTrace.java;4;45;6;0;10;0;9;0;3;0;0;294;0.00;0;0;0;46;0.00;0.00;0.00;0.00;0.900;16;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java;4;354;20;0;18;0;14;0;5;0;0;2590;0.00;0;0;0;55;0.00;0.00;0.00;0.00;0.778;18;YES
ZOOKEEPER;src/docs/src/documentation/content/xdocs/releasenotes.xml;4;1193;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/jmx/ManagedUtil.java;4;30;1;0;2;0;2;0;2;0;0;74;0.00;0;0;0;13;0.00;0.00;0.00;0.00;1.000;3;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java;4;43;8;0;10;0;7;0;3;0;0;115;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.700;7;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/package.html;4;13;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperOver.xml;4;355;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/Token.java;4;19;2;0;8;0;7;0;2;0;0;101;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;10;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieProtocol.java;4;10;0;0;1;0;1;0;1;0;0;70;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;1;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/WriteCallback.java;4;4;1;0;1;0;1;0;1;0;0;32;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ConnectionMXBean.java;4;13;10;0;8;0;7;0;2;0;0;82;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ReadCallback.java;4;4;1;0;1;0;1;0;1;0;0;38;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java;4;102;12;0;18;0;15;0;6;0;0;228;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.833;1;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/LogFormatter.java;4;44;1;0;11;0;9;0;3;0;0;100;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.818;2;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java;4;336;21;0;23;0;20;0;6;0;0;2216;0.00;0;0;0;55;0.00;0.00;0.00;0.00;0.870;28;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JType.java;4;94;22;0;8;0;7;0;2;0;0;144;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;4;NO
ZOOKEEPER;src/docs/status.xml;4;32;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;1;NO
ZOOKEEPER;docs/zookeeperAdmin.html;4;1101;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;63;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/RccConstants.java;4;64;0;0;8;0;7;0;2;0;0;90;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;4;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/site.xml;4;57;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;1;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/index.xml;4;58;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerBean.java;4;22;5;0;9;0;8;0;3;0;0;108;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.889;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/common/PathTrie.java;4;154;14;0;1;0;1;0;1;0;0;280;0.00;0;0;0;7;0.00;0.00;0.00;0.00;1.000;6;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java;4;219;12;0;3;0;3;0;2;0;0;335;0.00;0;0;0;23;0.00;0.00;0.00;0.00;1.000;5;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LeaderMXBean.java;4;6;2;0;8;0;7;0;2;0;0;52;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java;4;100;5;1;21;1;17;1;5;7;9;1639;9.00;19;1;19;72;648.00;6.00;3.37;69.00;0.810;8;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/RequestProcessor.java;4;5;2;0;8;0;7;0;2;0;0;51;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java;4;10;5;0;9;0;8;0;3;0;0;100;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.889;2;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JavaGenerator.java;4;24;2;0;9;0;8;0;2;0;0;68;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.889;7;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/ServerStats.java;4;105;23;0;1;0;1;0;1;0;0;133;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;15;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerSequence.java;4;29;4;0;1;0;1;0;1;0;0;65;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;3;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/CppGenerator.java;4;40;2;0;9;0;8;0;2;0;0;91;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.889;7;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java;4;223;3;1;26;1;18;1;6;4;5;1409;5.00;19;1;19;72;360.00;6.00;3.37;69.00;0.692;6;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java;4;120;5;1;20;1;15;1;5;3;4;976;4.00;19;1;19;72;288.00;6.00;3.37;69.00;0.750;8;YES
ZOOKEEPER;src/java/main/org/apache/jute/XmlInputArchive.java;4;194;30;0;8;0;7;0;2;0;0;253;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;20;NO
ZOOKEEPER;docs/skin/prototype.js;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/version/util/VerGen.java;4;86;3;0;13;0;12;0;4;0;0;410;0.00;0;0;0;57;0.00;0.00;0.00;0.00;0.923;11;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ServerConfig.java;4;54;8;1;13;1;11;1;4;17;20;273;20.00;5;1;5;56;1120.00;2.00;1.68;71.00;0.846;1;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JCompType.java;4;24;5;0;8;0;7;0;2;0;0;57;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java;4;164;12;0;19;0;12;0;5;0;0;338;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.632;12;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumBean.java;4;20;4;0;8;0;7;0;2;0;0;74;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperOtherInfo.xml;4;26;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;docs/skin/CommonMessages_en_US.xml;4;7;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;docs/skin/fontsize.js;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/contrib/zkfuse/build.xml;4;34;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/jmx/ZKMBeanInfo.java;4;5;2;0;8;0;7;0;2;0;0;48;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerEntry.java;4;26;4;0;1;0;1;0;1;0;0;63;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java;4;312;10;1;24;1;17;1;6;15;27;2174;27.00;19;1;19;72;1944.00;6.00;3.37;69.00;0.708;14;YES
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerStream.java;4;50;3;0;1;0;1;0;1;0;0;104;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;3;NO
ZOOKEEPER;docs/zookeeperOtherInfo.html;4;158;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;3;NO
ZOOKEEPER;src/java/main/org/apache/jute/BinaryInputArchive.java;4;87;21;0;9;0;7;0;2;0;0;136;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.778;12;NO
ZOOKEEPER;docs/skin/screen.css;4;488;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerRecoveryMonitor.java;4;133;4;0;1;0;1;0;1;0;0;213;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;15;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/Election.java;4;5;1;0;10;0;9;0;4;0;0;46;0.00;0;0;0;55;0.00;0.00;0.00;0.00;0.900;0;NO
ZOOKEEPER;src/contrib/build-contrib.xml;4;65;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/contrib/fatjar/src/java/org/apache/zookeeper/util/FatJarMain.java;4;79;3;0;1;0;1;0;1;0;0;126;0.00;0;0;0;11;0.00;0.00;0.00;0.00;1.000;10;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/ServerMXBean.java;4;5;2;0;8;0;7;0;2;0;0;47;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;conf/configuration.xsl;4;24;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java;4;19;11;1;2;1;2;1;2;2;3;118;3.00;19;1;19;25;75.00;6.00;3.37;69.00;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/DataTree.java;4;768;44;0;34;0;25;0;5;0;0;1427;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.735;50;YES
ZOOKEEPER;src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/TestClient.java;4;190;13;1;2;1;2;1;1;31;79;348;79.00;2;1;2;8;632.00;1.00;0.00;74.00;1.000;13;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/recipes.xml;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;docs/skin/CommonMessages_fr.xml;4;7;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JString.java;4;19;4;0;8;0;7;0;2;0;0;49;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/DataNode.java;4;60;7;0;18;0;16;0;4;0;0;261;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.889;9;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/util/ClientBase.java;4;245;19;0;1;0;1;0;1;0;0;343;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;16;NO
ZOOKEEPER;src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/MySqlClient.java;4;87;5;0;1;0;1;0;1;0;0;137;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;12;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java;4;30;4;1;14;1;10;1;4;7;9;117;9.00;19;1;19;72;648.00;6.00;3.37;69.00;0.714;0;YES
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperInternals.xml;4;346;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/BinaryOutputArchive.java;4;98;18;0;10;0;7;0;3;0;0;173;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.700;7;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumEngine.java;4;181;12;0;1;0;1;0;1;0;0;265;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;11;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java;4;42;5;0;10;0;8;0;3;0;0;95;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.800;3;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/Quotas.java;4;15;2;0;1;0;1;0;1;0;0;68;0.00;0;0;0;7;0.00;0.00;0.00;0.00;1.000;5;NO
ZOOKEEPER;docs/index.html;4;225;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/CsvOutputArchive.java;4;106;19;0;10;0;8;0;4;0;0;161;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.800;4;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/RemotePeerMXBean.java;4;5;2;0;8;0;7;0;2;0;0;47;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;docs/skin/getBlank.js;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumOpMonitor.java;4;265;12;0;1;0;1;0;1;0;0;496;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;37;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java;4;175;18;0;26;0;19;0;6;0;0;409;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.731;5;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JFile.java;4;33;3;0;9;0;8;0;2;0;0;85;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.889;7;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/WatchManager.java;4;78;5;0;15;0;10;0;3;0;0;169;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.667;4;NO
ZOOKEEPER;docs/zookeeperProgrammers.html;4;1529;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;66;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/tabs.xml;4;11;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;docs/zookeeperStarted.html;4;393;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;19;NO
ZOOKEEPER;docs/zookeeperQuotas.html;4;200;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;9;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ClientCBWorker.java;4;70;5;0;1;0;1;0;1;0;0;112;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;4;YES
ZOOKEEPER;docs/broken-links.xml;4;2;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java;4;85;3;1;2;1;2;1;2;18;28;133;28.00;19;1;19;25;700.00;6.00;3.37;69.00;1.000;2;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperStarted.xml;4;235;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperProgrammers.xml;4;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/DataTreeMXBean.java;4;8;5;0;8;0;7;0;2;0;0;75;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/Bookie.java;4;274;21;0;1;0;1;0;1;0;0;343;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;30;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java;4;86;8;0;10;0;8;0;3;0;0;143;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.800;12;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/jmx/MBeanRegistry.java;4;123;9;0;10;0;8;0;4;0;0;252;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.800;4;NO
ZOOKEEPER;src/contrib/build.xml;4;23;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookieHandle.java;4;133;9;0;1;0;1;0;1;0;0;250;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;17;YES
ZOOKEEPER;docs/recipes.html;4;670;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;27;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieClient.java;4;226;15;0;1;0;1;0;1;0;0;342;0.00;0;0;0;8;0.00;0.00;0.00;0.00;1.000;24;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/RemotePeerBean.java;4;18;4;0;8;0;7;0;2;0;0;63;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/ZooDefs.java;4;48;0;0;12;0;10;0;3;0;0;142;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.833;27;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/Version.java;4;41;7;0;13;0;8;0;2;0;0;228;0.00;0;0;0;57;0.00;0.00;0.00;0.00;0.615;4;NO
ZOOKEEPER;docs/zookeeperJMX.html;4;334;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;13;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumMXBean.java;4;5;2;0;8;0;7;0;2;0;0;48;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ServerCnxn.java;4;40;13;0;14;0;13;0;4;0;0;132;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.929;20;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/ServerBean.java;4;12;2;0;8;0;7;0;2;0;0;54;0.00;0;0;0;42;0.00;0.00;0.00;0.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/Watcher.java;4;58;7;0;12;0;11;0;3;0;0;201;0.00;0;0;0;72;0.00;0.00;0.00;0.00;0.917;15;NO
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;5;103;7;1;1;1;1;1;1;164;164;164;164.00;17;1;17;9;1476.00;4.00;3.01;9.00;1.000;2;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JDouble.java;5;13;3;1;9;1;8;1;2;0;1;44;1.00;34;1;34;87;87.00;3.00;3.52;58.00;0.889;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java;5;50;3;1;13;1;11;1;5;0;2;378;2.00;5;1;5;65;130.00;3.00;0.79;126.00;0.846;3;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/CGenerator.java;5;48;2;1;11;1;8;1;3;15;27;127;27.00;34;1;34;87;2349.00;3.00;3.52;58.00;0.727;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooKeeperServerBean.java;5;71;17;0;10;0;9;0;3;0;0;212;0.00;0;0;0;57;0.00;0.00;0.00;0.00;0.900;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/Vote.java;5;38;6;0;11;0;10;0;4;0;0;141;0.00;0;0;0;70;0.00;0.00;0.00;0.00;0.909;4;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java;5;415;10;9;41;9;32;2;6;18;94;2532;10.44;38;9;149;87;8178.00;4.00;2.59;100.78;0.780;14;YES
ZOOKEEPER;src/java/main/org/apache/jute/RecordReader.java;5;53;3;1;9;1;8;1;2;0;5;105;5.00;34;1;34;87;435.00;3.00;3.52;58.00;0.889;9;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java;5;183;3;3;21;3;16;2;5;109;189;1250;63.00;17;3;35;87;16443.00;2.00;1.64;80.33;0.762;15;YES
ZOOKEEPER;src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieServer.java;5;152;8;3;4;3;4;2;2;17;28;207;9.33;21;3;54;22;616.00;4.33;2.85;89.33;1.000;7;NO
