Project_Name;Class_Name;Release_ID;Size_LOC;N_Methods;NR_Release;NR_Total;Nfix_Release;Nfix_Total;Nauth_Release;Nauth_Total;MAX_LOC_Added_Release;Churn_Release;Churn_Total;AVG_Churn_Release;MAX_ChgSet_Release;N_Multi_Release;Sum_Multi_ChgSet_Release;Age_Weeks;Weighted_Age;ND;Entropy;Exp;Historical_Bug_Density;NSmells;Bugginess
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java;1;45;6;8;8;7;7;2;2;70;86;86;10.75;229;8;1115;51;4386.00;12.25;2.24;4.63;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/Record.java;1;8;2;8;8;7;7;2;2;33;35;35;4.38;229;8;1036;51;1785.00;11.38;1.42;5.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/WatchedEvent.java;1;40;7;2;2;2;2;1;1;73;85;85;42.50;26;2;30;4;340.00;2.00;2.68;34.50;1.000;2;NO
ZOOKEEPER;docs/skin/CommonMessages_es.xml;1;7;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;docs/zookeeperInternals.html;1;611;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;23;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java;1;33;5;7;7;6;6;2;2;74;94;94;13.43;229;7;862;20;1880.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/util/Profiler.java;1;18;2;11;11;9;9;3;3;40;208;208;18.91;229;11;1147;29;6032.00;10.36;2.42;20.36;0.818;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java;1;13;3;2;2;2;2;2;2;59;62;62;31.00;35;2;48;3;186.00;6.00;2.74;30.00;1.000;0;YES
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java;1;24;4;10;10;9;9;3;3;50;102;102;10.20;229;10;954;20;2040.00;10.60;2.89;16.00;0.900;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java;1;8;5;7;7;6;6;2;2;44;58;58;8.29;229;7;862;20;1160.00;11.71;2.48;10.57;0.857;0;NO
