Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,5,RandomForest,Yes,Yes,0.7181,0.7809,0.8899,0.5768,0.1723,10
ZooKeeper,7,RandomForest,Yes,Yes,0.8048,0.8000,0.7010,0.3873,0.1088,10
ZooKeeper,8,RandomForest,Yes,Yes,0.6936,0.6268,0.8193,0.5119,0.2488,10
ZooKeeper,9,RandomForest,Yes,Yes,0.8805,0.7833,0.9670,0.7454,0.2750,10
ZooKeeper,10,RandomForest,Yes,Yes,0.7131,0.7000,0.9464,0.6491,0.2667,10
ZooKeeper,11,RandomForest,Yes,Yes,0.7625,0.8059,0.8111,0.5020,0.1824,10
ZooKeeper,12,RandomForest,Yes,Yes,0.7517,0.7433,0.8810,0.5669,0.1583,10
ZooKeeper,14,RandomForest,Yes,Yes,1.0000,0.7333,1.0000,0.8000,0.3333,10
ZooKeeper,15,RandomForest,Yes,Yes,0.8316,0.8250,0.6972,0.0893,0.1750,10
ZooKeeper,16,RandomForest,Yes,Yes,0.8981,0.7333,0.6063,0.2491,0.1625,10
ZooKeeper,17,RandomForest,Yes,Yes,0.8081,0.8250,0.9283,0.6945,0.2063,10
ZooKeeper,18,RandomForest,Yes,Yes,0.8407,0.8333,0.9250,0.6215,0.2083,10
ZooKeeper,19,RandomForest,Yes,Yes,0.8514,0.8500,0.7078,0.5508,0.2000,10
ZooKeeper,21,RandomForest,Yes,Yes,0.8335,0.7621,0.8215,0.5161,0.1172,10
ZooKeeper,1,NaiveBayes,No,No,0.7202,0.6306,0.9145,0.5364,0.1653,10
ZooKeeper,2,NaiveBayes,No,No,0.7528,0.7625,0.6250,0.4303,0.2000,10
ZooKeeper,3,NaiveBayes,No,No,0.8197,0.6048,0.8873,0.5371,0.1571,10
ZooKeeper,4,NaiveBayes,No,No,0.8824,0.9375,0.4594,-0.0800,0.2500,10
ZooKeeper,5,NaiveBayes,No,No,0.7414,0.6340,0.8603,0.5069,0.1660,10
ZooKeeper,7,NaiveBayes,No,No,0.8432,0.5529,0.6751,0.2800,0.1118,10
ZooKeeper,8,NaiveBayes,No,No,0.7528,0.6073,0.7966,0.5435,0.2293,10
ZooKeeper,9,NaiveBayes,No,No,0.7291,0.6750,0.8611,0.5541,0.2250,10
ZooKeeper,10,NaiveBayes,No,No,0.6559,0.7889,0.9488,0.6544,0.2667,10
ZooKeeper,11,NaiveBayes,No,No,0.5964,0.4588,0.6905,0.0782,0.1882,10
ZooKeeper,12,NaiveBayes,No,No,0.8163,0.6283,0.8491,0.5450,0.1550,10
ZooKeeper,14,NaiveBayes,No,No,1.0000,1.0000,1.0000,1.0000,0.5333,10
ZooKeeper,15,NaiveBayes,No,No,0.9159,0.9083,0.8083,0.5694,0.2083,10
ZooKeeper,16,NaiveBayes,No,No,0.9169,0.4625,0.5404,0.1362,0.1500,10
ZooKeeper,17,NaiveBayes,No,No,0.8144,0.8750,0.9595,0.7371,0.2500,10
ZooKeeper,18,NaiveBayes,No,No,0.8461,0.8167,0.8889,0.6132,0.2417,10
ZooKeeper,19,NaiveBayes,No,No,0.7349,0.7000,0.6578,0.1988,0.2375,10
ZooKeeper,21,NaiveBayes,No,No,0.8387,0.5379,0.7422,0.3473,0.1276,10
