Dataset,Train_Through_Release,Test_Release,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Train_Instances,Test_Instances
ZooKeeper,15,16,RandomForest,Yes,No,0.9565,0.9167,0.8000,0.6641,0.1250,5042,29
ZooKeeper,16,17,RandomForest,Yes,No,0.7500,0.9375,0.9675,0.7057,0.1875,5438,41
ZooKeeper,17,18,RandomForest,Yes,No,0.8000,1.0000,0.9537,0.6957,0.2500,5849,21
ZooKeeper,18,19,RandomForest,Yes,No,0.8750,0.8750,0.8438,0.6250,0.1250,6263,12
ZooKeeper,19,20,RandomForest,Yes,No,1.0000,0.8750,NaN,0.0000,0.1250,6677,8
ZooKeeper,20,21,RandomForest,Yes,No,0.7222,0.6724,0.7448,0.2727,0.1034,7091,96
ZooKeeper,1,2,RandomForest,Yes,Yes,0.6250,0.6250,0.5833,0.1250,0.3750,258,14
ZooKeeper,2,3,RandomForest,Yes,Yes,0.6346,0.7857,0.8312,0.4615,0.2143,494,104
ZooKeeper,3,4,RandomForest,Yes,Yes,0.9375,0.9375,0.8281,0.4375,0.1250,768,18
ZooKeeper,4,5,RandomForest,Yes,Yes,0.6029,0.8723,0.8299,0.4692,0.1489,1048,121
ZooKeeper,5,6,RandomForest,Yes,Yes,1.0000,0.9048,NaN,0.0000,0.0952,1371,21
ZooKeeper,6,7,RandomForest,Yes,Yes,0.7021,0.9706,0.6645,0.1218,0.1176,1688,50
ZooKeeper,7,8,RandomForest,Yes,Yes,0.4568,0.9024,0.8379,0.3231,0.2195,2018,130
ZooKeeper,8,9,RandomForest,Yes,Yes,0.6111,0.9167,0.8641,0.5469,0.2500,2402,35
ZooKeeper,9,10,RandomForest,Yes,Yes,0.3647,0.8611,0.9132,0.3668,0.3333,2787,220
ZooKeeper,10,11,RandomForest,Yes,Yes,0.7368,0.8235,0.8298,0.4723,0.1765,3385,31
ZooKeeper,11,12,RandomForest,Yes,Yes,0.7333,0.7333,0.8376,0.5429,0.1667,3981,144
ZooKeeper,13,14,RandomForest,Yes,Yes,0.5000,1.0000,1.0000,0.5000,0.3333,4877,12
ZooKeeper,14,15,RandomForest,Yes,Yes,0.8462,0.9167,0.9167,0.2857,0.2500,5318,15
ZooKeeper,15,16,RandomForest,Yes,Yes,0.9167,0.9167,0.7833,0.5167,0.1250,5767,29
ZooKeeper,16,17,RandomForest,Yes,Yes,0.8421,1.0000,0.9788,0.8513,0.1875,6215,41
ZooKeeper,17,18,RandomForest,Yes,Yes,0.7500,1.0000,0.9444,0.5882,0.2500,6676,21
ZooKeeper,18,19,RandomForest,Yes,Yes,0.7778,0.8750,0.7813,0.4000,0.1250,7139,12
ZooKeeper,19,20,RandomForest,Yes,Yes,1.0000,0.8750,NaN,0.0000,0.2500,7606,8
ZooKeeper,20,21,RandomForest,Yes,Yes,0.6774,0.7241,0.7461,0.2015,0.1034,8107,96
ZooKeeper,1,2,NaiveBayes,No,No,0.8333,0.6250,0.7604,0.4400,0.1250,209,14
ZooKeeper,2,3,NaiveBayes,No,No,0.5000,0.9524,0.7427,0.2681,0.1667,419,104
ZooKeeper,3,4,NaiveBayes,No,No,1.0000,0.5625,1.0000,0.2222,0.1250,647,18
ZooKeeper,4,5,NaiveBayes,No,No,0.7174,0.7021,0.8515,0.5285,0.1702,875,121
ZooKeeper,5,6,NaiveBayes,No,No,1.0000,0.7619,NaN,0.0000,0.1429,1144,21
ZooKeeper,6,7,NaiveBayes,No,No,0.6512,0.8235,0.6526,-0.1339,0.1471,1415,50
ZooKeeper,7,8,NaiveBayes,No,No,0.4021,0.9512,0.7658,0.2189,0.1707,1698,130
ZooKeeper,8,9,NaiveBayes,No,No,0.8000,0.6667,0.7536,0.6038,0.2500,2032,35
ZooKeeper,9,10,NaiveBayes,No,No,0.2990,0.8056,0.8046,0.2593,0.2778,2368,220
ZooKeeper,10,11,NaiveBayes,No,No,0.7273,0.4706,0.7773,0.2470,0.1765,2913,31
ZooKeeper,11,12,NaiveBayes,No,No,0.7170,0.6333,0.8613,0.4625,0.1333,3461,144
ZooKeeper,13,14,NaiveBayes,No,No,0.6000,1.0000,0.9259,0.6364,0.3333,4251,12
ZooKeeper,14,15,NaiveBayes,No,No,1.0000,0.7500,0.8056,0.5455,0.1667,4646,15
ZooKeeper,15,16,NaiveBayes,No,No,0.9412,0.6667,0.7375,0.3003,0.1667,5042,29
ZooKeeper,16,17,NaiveBayes,No,No,0.8667,0.8125,0.8825,0.7408,0.1875,5438,41
ZooKeeper,17,18,NaiveBayes,No,No,0.7857,0.9167,0.8241,0.6000,0.1667,5849,21
ZooKeeper,18,19,NaiveBayes,No,No,0.7500,0.7500,0.8438,0.2500,0.1250,6263,12
ZooKeeper,19,20,NaiveBayes,No,No,1.0000,0.7500,NaN,0.0000,0.2500,6677,8
ZooKeeper,20,21,NaiveBayes,No,No,0.7000,0.7241,0.7005,0.2527,0.1379,7091,96
ZooKeeper,1,2,NaiveBayes,No,Yes,0.8333,0.6250,0.7604,0.4400,0.1250,258,14
ZooKeeper,2,3,NaiveBayes,No,Yes,0.4938,0.9524,0.7558,0.2532,0.1667,494,104
ZooKeeper,3,4,NaiveBayes,No,Yes,1.0000,0.6250,1.0000,0.2703,0.1250,768,18
ZooKeeper,4,5,NaiveBayes,No,Yes,0.7059,0.7660,0.8526,0.5546,0.1702,1048,121
ZooKeeper,5,6,NaiveBayes,No,Yes,1.0000,0.7619,NaN,0.0000,0.1429,1371,21
ZooKeeper,6,7,NaiveBayes,No,Yes,0.6512,0.8235,0.6507,-0.1339,0.1471,1688,50
ZooKeeper,7,8,NaiveBayes,No,Yes,0.4021,0.9512,0.7688,0.2189,0.1707,2018,130
ZooKeeper,8,9,NaiveBayes,No,Yes,0.8000,0.6667,0.7536,0.6038,0.2500,2402,35
ZooKeeper,9,10,NaiveBayes,No,Yes,0.2400,0.8333,0.8111,0.1590,0.3056,2787,220
ZooKeeper,10,11,NaiveBayes,No,Yes,0.7273,0.4706,0.7731,0.2470,0.1765,3385,31
ZooKeeper,11,12,NaiveBayes,No,Yes,0.7333,0.7333,0.8642,0.5429,0.1333,3981,144
ZooKeeper,13,14,NaiveBayes,No,Yes,0.6000,1.0000,0.9259,0.6364,0.3333,4877,12
ZooKeeper,14,15,NaiveBayes,No,Yes,1.0000,0.7500,0.8056,0.5455,0.1667,5318,15
ZooKeeper,15,16,NaiveBayes,No,Yes,0.9412,0.6667,0.7375,0.3003,0.1667,5767,29
ZooKeeper,16,17,NaiveBayes,No,Yes,0.8125,0.8125,0.8825,0.6925,0.1875,6215,41
ZooKeeper,17,18,NaiveBayes,No,Yes,0.7857,0.9167,0.8148,0.6000,0.1667,6676,21
ZooKeeper,18,19,NaiveBayes,No,Yes,0.7500,0.7500,0.8438,0.2500,0.1250,7139,12
ZooKeeper,19,20,NaiveBayes,No,Yes,1.0000,0.7500,NaN,0.0000,0.2500,7606,8
ZooKeeper,20,21,NaiveBayes,No,Yes,0.6885,0.7241,0.6974,0.2272,0.1379,8107,96
ZooKeeper,1,2,NaiveBayes,Yes,No,NaN,0.0000,0.6458,0.0000,0.1250,209,14
ZooKeeper,2,3,NaiveBayes,Yes,No,0.4038,1.0000,0.5931,0.0000,0.1429,419,104
ZooKeeper,3,4,NaiveBayes,Yes,No,1.0000,0.8125,0.9063,0.4906,0.1250,647,18
ZooKeeper,4,5,NaiveBayes,Yes,No,0.5057,0.9362,0.8347,0.3074,0.1489,875,121
ZooKeeper,5,6,NaiveBayes,Yes,No,1.0000,0.9524,NaN,0.0000,0.1429,1144,21
ZooKeeper,6,7,NaiveBayes,Yes,No,0.6667,0.8824,0.5368,-0.0674,0.1176,1415,50
ZooKeeper,7,8,NaiveBayes,Yes,No,0.3393,0.9268,0.7427,0.0650,0.2195,1698,130
ZooKeeper,8,9,NaiveBayes,Yes,No,0.9000,0.7500,0.8043,0.7358,0.2500,2032,35
ZooKeeper,9,10,NaiveBayes,Yes,No,0.1933,0.8056,0.7228,0.0651,0.2778,2368,220
ZooKeeper,10,11,NaiveBayes,Yes,No,0.6923,0.5294,0.7311,0.2377,0.1765,2913,31
ZooKeeper,11,12,NaiveBayes,Yes,No,0.6596,0.5167,0.7954,0.3366,0.1333,3461,144
ZooKeeper,13,14,NaiveBayes,Yes,No,0.7500,1.0000,1.0000,0.8000,0.3333,4251,12
ZooKeeper,14,15,NaiveBayes,Yes,No,1.0000,0.6667,1.0000,0.4444,0.2500,4646,15
ZooKeeper,15,16,NaiveBayes,Yes,No,0.9130,0.8750,0.7792,0.4402,0.1667,5042,29
ZooKeeper,16,17,NaiveBayes,Yes,No,0.6818,0.9375,0.9275,0.6159,0.1875,5438,41
ZooKeeper,17,18,NaiveBayes,Yes,No,0.9231,1.0000,0.9815,0.9014,0.2500,5849,21
ZooKeeper,18,19,NaiveBayes,Yes,No,0.6667,1.0000,0.9688,0.0000,0.1250,6263,12
ZooKeeper,19,20,NaiveBayes,Yes,No,1.0000,0.6250,NaN,0.0000,0.2500,6677,8
ZooKeeper,20,21,NaiveBayes,Yes,No,0.6825,0.7414,0.7017,0.2201,0.1034,7091,96
ZooKeeper,1,2,NaiveBayes,Yes,Yes,NaN,0.0000,0.5000,0.0000,0.2500,258,14
ZooKeeper,2,3,NaiveBayes,Yes,Yes,0.4038,1.0000,0.6071,0.0000,0.1190,494,104
ZooKeeper,3,4,NaiveBayes,Yes,Yes,1.0000,0.8750,0.8750,0.6087,0.1250,768,18
ZooKeeper,4,5,NaiveBayes,Yes,Yes,0.4466,0.9787,0.8358,0.1712,0.1489,1048,121
ZooKeeper,5,6,NaiveBayes,Yes,Yes,1.0000,1.0000,NaN,1.0000,0.1429,1371,21
ZooKeeper,6,7,NaiveBayes,Yes,Yes,0.6739,0.9118,0.5460,-0.0321,0.1176,1688,50
ZooKeeper,7,8,NaiveBayes,Yes,Yes,0.3393,0.9268,0.7439,0.0650,0.2195,2018,130
ZooKeeper,8,9,NaiveBayes,Yes,Yes,0.8182,0.7500,0.8043,0.6765,0.2500,2402,35
ZooKeeper,9,10,NaiveBayes,Yes,Yes,0.1923,0.8333,0.7227,0.0635,0.2778,2787,220
ZooKeeper,10,11,NaiveBayes,Yes,Yes,0.7143,0.5882,0.7311,0.2969,0.1765,3385,31
ZooKeeper,11,12,NaiveBayes,Yes,Yes,0.6735,0.5500,0.7943,0.3692,0.1333,3981,144
ZooKeeper,13,14,NaiveBayes,Yes,Yes,0.7500,1.0000,1.0000,0.8000,0.6667,4877,12
ZooKeeper,14,15,NaiveBayes,Yes,Yes,1.0000,0.6667,1.0000,0.4444,0.2500,5318,15
ZooKeeper,15,16,NaiveBayes,Yes,Yes,0.9130,0.8750,0.7792,0.4402,0.1667,5767,29
ZooKeeper,16,17,NaiveBayes,Yes,Yes,0.4054,0.9375,0.9275,0.0465,0.1875,6215,41
ZooKeeper,17,18,NaiveBayes,Yes,Yes,0.9231,1.0000,0.9815,0.9014,0.2500,6676,21
ZooKeeper,18,19,NaiveBayes,Yes,Yes,0.6667,1.0000,0.9688,0.0000,0.1250,7139,12
ZooKeeper,19,20,NaiveBayes,Yes,Yes,1.0000,0.6250,NaN,0.0000,0.2500,7606,8
ZooKeeper,20,21,NaiveBayes,Yes,Yes,0.6515,0.7414,0.7015,0.1412,0.1034,8107,96
ZooKeeper,1,2,IBk,No,No,0.5714,1.0000,0.5000,0.0000,0.1250,209,14
ZooKeeper,2,3,IBk,No,No,0.5556,0.8333,0.6909,0.3532,0.2143,419,104
ZooKeeper,3,4,IBk,No,No,0.9333,0.8750,0.6875,0.3077,0.1875,647,18
ZooKeeper,4,5,IBk,No,No,0.6610,0.8298,0.7798,0.5346,0.2553,875,121
ZooKeeper,5,6,IBk,No,No,1.0000,0.8571,NaN,0.0000,0.2381,1144,21
ZooKeeper,6,7,IBk,No,No,0.6757,0.7353,0.4926,-0.0155,0.1471,1415,50
ZooKeeper,7,8,IBk,No,No,0.5410,0.8049,0.7451,0.4333,0.2195,1698,130
ZooKeeper,8,9,IBk,No,No,0.4615,0.5000,0.5978,0.1918,0.1667,2032,35
ZooKeeper,9,10,IBk,No,No,0.3425,0.6944,0.7168,0.3068,0.2778,2368,220
ZooKeeper,10,11,IBk,No,No,0.7692,0.5882,0.6870,0.3648,0.1765,2913,31
ZooKeeper,11,12,IBk,No,No,0.7273,0.6667,0.7440,0.4940,0.1333,3461,144
ZooKeeper,13,14,IBk,No,No,0.2727,1.0000,0.5556,0.0588,0.3333,4251,12
ZooKeeper,14,15,IBk,No,No,0.8182,0.7500,0.5417,0.0741,0.2500,4646,15
